date,code,close,adjustflag,turn,tradestatus,pctChg,isST
2023-11-16,sh.603757,24.4400000000,2,0.990100,1,0.163900,0
2023-11-17,sh.603757,24.7500000000,2,0.615900,1,1.268400,0
2023-11-20,sh.603757,25.0400000000,2,0.836000,1,1.171700,0
2023-11-21,sh.603757,24.6100000000,2,0.806700,1,-1.717300,0
2023-11-22,sh.603757,24.0200000000,2,0.833400,1,-2.397400,0
2023-11-23,sh.603757,24.4000000000,2,0.717900,1,1.582000,0
2023-11-24,sh.603757,24.1600000000,2,0.743100,1,-0.983600,0
2023-11-27,sh.603757,24.1400000000,2,0.826900,1,-0.082800,0
2023-11-28,sh.603757,24.4000000000,2,0.715300,1,1.077100,0
2023-11-29,sh.603757,24.1600000000,2,0.653400,1,-0.983600,0
2023-11-30,sh.603757,24.0500000000,2,0.624900,1,-0.455300,0
2023-12-01,sh.603757,23.9400000000,2,0.664200,1,-0.457400,0
2023-12-04,sh.603757,24.1000000000,2,0.846700,1,0.668300,0
2023-12-05,sh.603757,23.5000000000,2,0.589700,1,-2.489600,0
2023-12-06,sh.603757,23.4600000000,2,0.528900,1,-0.170200,0
2023-12-07,sh.603757,23.3400000000,2,0.463000,1,-0.511500,0
2023-12-08,sh.603757,23.0200000000,2,0.617800,1,-1.371000,0
2023-12-11,sh.603757,23.6000000000,2,1.059700,1,2.519500,0
2023-12-12,sh.603757,23.5100000000,2,0.635000,1,-0.381400,0
2023-12-13,sh.603757,23.5200000000,2,0.471700,1,0.042500,0
2023-12-14,sh.603757,23.6000000000,2,0.421300,1,0.340100,0
2023-12-15,sh.603757,23.5300000000,2,0.643000,1,-0.296600,0
2023-12-18,sh.603757,23.2700000000,2,0.672600,1,-1.105000,0
2023-12-19,sh.603757,23.4300000000,2,0.594800,1,0.687600,0
2023-12-20,sh.603757,23.2300000000,2,0.628700,1,-0.853600,0
2023-12-21,sh.603757,23.6000000000,2,0.825000,1,1.592800,0
2023-12-22,sh.603757,23.7100000000,2,1.106000,1,0.466100,0
2023-12-25,sh.603757,23.5400000000,2,1.018400,1,-0.717000,0
